Chiptime	ax(g)	ay(g)	az(g)	wx(deg/s)	wy(deg/s)	wz(deg/s)	AngleX(deg)	AngleY(deg)	AngleZ(deg)	T(°)	magx	magy	magz	lon	lat	Yaw	Speed	q1	q2	q3	q4
 2000-0-0 2:4:51.720	-0.0127	-0.0586	0.9956	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.720	-0.0127	-0.0586	0.9956	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.760	-0.0127	-0.0586	0.9956	0.0	0.0	0.0	-3.093	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.780	-0.0112	-0.0596	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:51.800	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.40	-0.0103	-0.0601	0.9976	0.0	0.0	0.0	-3.093	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.60	-0.0117	-0.0586	0.9961	0.0	0.0	0.0	-3.093	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.80	-0.0117	-0.0596	0.9976	0.0	0.0	0.0	-3.087	0.797	7.751	29.53	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.100	-0.0117	-0.0596	0.9966	0.0	0.0	0.0	-3.087	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.200	-0.0117	-0.0586	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.200	-0.0117	-0.0586	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.200	-0.0117	-0.0586	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.200	-0.0117	-0.0586	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.320	-0.0122	-0.0591	0.9966	0.0	0.0	0.0	-3.087	0.797	7.751	29.55	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.340	-0.0112	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.56	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.380	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.52	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.400	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.400	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.400	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.54	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.460	-0.0122	-0.0591	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.57	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
 2000-0-0 2:4:52.480	-0.0117	-0.0596	0.9971	0.0	0.0	0.0	-3.087	0.797	7.751	29.59	None	None	None	None	None	None	None	0.99719	-0.03009	0.00403	0.06775
