timestep,vel_proxy_y
1432,0.03852560
1433,0.03760756
1434,0.03299315
1435,0.03519594
1436,0.03601320
1437,0.04082650
1438,0.04817903
1439,0.04942581
1440,0.04909395
1441,0.04947465
1442,0.04873457
1443,0.04414056
1444,0.04529225
1445,0.04645824
1446,0.04183408
1447,0.04321053
1448,0.04410718
1449,0.04180492
1450,0.04213017
1451,0.04015750
1452,0.03867645
1453,0.04135971
1454,0.04061307
1455,0.04249639
1456,0.04163003
1457,0.04172223
1458,0.04254223
1459,0.04255819
1460,0.04128386
1461,0.04157676
1462,0.04035177
1463,0.04441225
1464,0.03878955
1465,0.04399834
1466,0.04860019
1467,0.05086782
1468,0.04564475
1469,0.04562466
1470,0.04801068
1471,0.04735040
1472,0.04849949
1473,0.05420825
1474,0.05554830
1475,0.05938145
1476,0.06517111
1477,0.05992509
1478,0.05510872
1479,0.05016562
1480,0.04838450
1481,0.04794393
1482,0.04705435
1483,0.04479863
1484,0.04200938
1485,0.03983464
1486,0.03895693
1487,0.03757366
1488,0.03616033
1489,0.03459472
1490,0.03200297
1491,0.03093281
1492,0.03117851
1493,0.02912303
1494,0.02562547
1495,0.02216702
1496,0.01756856
1497,0.01080510
1498,0.00827624
1499,0.00601836
1500,0.00393361
1501,-0.00242432
1502,-0.00375045
1503,-0.00253570
1504,-0.00840507
1505,-0.01347887
1506,-0.01235898
1507,-0.01027705
1508,-0.00666531
1509,-0.00305480
1510,0.00211742
1511,0.00509112
1512,0.00878593
1513,0.01253293
1514,0.01607592
1515,0.02016222
1516,0.02363804
1517,0.03025564
1518,0.03117396
1519,0.03148006
1520,0.03565341
1521,0.03642672
1522,0.03514296
1523,0.03540883
1524,0.03435829
1525,0.03214243
1526,0.03478695
1527,0.03378337
1528,0.03542393
1529,0.03461151
1530,0.03286459
1531,0.03203136
1532,0.03416495
1533,0.03373628
1534,0.03196702
1535,0.03479666
1536,0.03626868
1537,0.04027242
1538,0.04892499
1539,0.04669554
1540,0.04735593
1541,0.04671409
1542,0.04416075
1543,0.04104469
1544,0.04223374
1545,0.04372793
1546,0.04127232
1547,0.04429436
1548,0.04426164
1549,0.04134328
1550,0.04014660
1551,0.04015419
1552,0.03794439
1553,0.03971017
1554,0.03601100
1555,0.03094995
1556,0.02270048
1557,0.01583434
1558,0.01380870
1559,0.01570014
1560,0.01283418
1561,0.01048688
1562,0.01041061
1563,0.01184381
1564,0.00311999
1565,0.00328604
1566,0.00654100
1567,0.00513652
1568,-0.00315388
1569,-0.00817247
1570,-0.00514223
1571,-0.00646500
1572,-0.00987705
1573,-0.01228313
1574,-0.01489750
1575,-0.01525846
1576,-0.01511918
1577,-0.01236130
1578,-0.01251704
1579,-0.01091574
1580,-0.01299098
1581,-0.01238347
1582,-0.01034928
1583,-0.00941201
1584,-0.00694596
1585,-0.00339506
1586,-0.00039885
1587,0.00311590
1588,0.00670283
1589,0.00924376
1590,0.01412863
1591,0.01724318
1592,0.01892280
1593,0.02072695
1594,0.02480452
1595,0.02757628
1596,0.02932499
1597,0.03109663
1598,0.03565126
1599,0.03744303
1600,0.03854607
1601,0.03576625
1602,0.03340881
1603,0.03672207
1604,0.03069440
1605,0.02793572
1606,0.02648210
1607,0.02332487
1608,0.02193245
1609,0.02250616
1610,0.02235846
1611,0.02243902
1612,0.02334671
1613,0.02417681
1614,0.02786872
1615,0.03051157
1616,0.03038573
1617,0.03228418
1618,0.02996833
1619,0.02579821
1620,0.02878492
1621,0.02998401
1622,0.03152839
1623,0.03401131
1624,0.03352656
1625,0.03193761
1626,0.03071503
1627,0.02617997
1628,0.01596937
1629,0.01365874
1630,0.01011973
1631,0.00917715
